address,size,name,source,status,notes
0x02000008,2,gRam02000008,decomp,provisional,cached u16 X; 0x08031294 uses it when redrawing the HUD
0x0200000A,2,gRam0200000A,decomp,provisional,cached u16 Y; 0x08031294 uses it when redrawing the HUD
0x02000100,32,gRam02000100,decomp,provisional,"Size 32 MEASURED (Memset call, 0x08066144)"
0x02000130,1,gVBlankState,decomp,verified,Set to 1 before waiting for VBlank; cleared by the VBlank handler
0x02000134,2,gRam02000134,decomp,provisional,"Diagnostic marker: on entry to 0x080657D8 it writes the mode parameter (the [sp,#0] on the stack) here. strh, so u16. It lets the last running driver mode be read from RAM at the moment of a lockup."
0x02000140,32,gRam02000140,decomp,provisional,"Size 32 MEASURED (Memset call, 0x08066144)"
0x02000170,4,gIrqHandlerTable,decomp,provisional,Interrupt handler table base used by InitInterrupts and IntrMain
0x02000224,4,gRam02000224,decomp,provisional,Referenced by a block queued for matching; role unknown
0x02000230,64,gRam02000230,decomp,provisional,"Size 64 MEASURED (Memset call, 0x08066144)"
0x02000284,4,gActiveIrqSlot,decomp,provisional,Currently dispatched IRQ slot
0x02000288,2,gRam02000288,decomp,provisional,0x080657D8 writes the value `1 - r2` with strh; the source declares it s16 because the value can be negative. Size 2.
0x020003C0,32,gRam020003C0,decomp,provisional,"Size 32 MEASURED (Memset call, 0x08066144)"
0x020003E0,4,gFrameReset,decomp,provisional,Cleared during frame reset
0x020003E4,1,gCartFlag,decomp,verified,"flag tested by 0x080336EC/2C (work is done while it is 1)  TRACE: 0->1 at f684 during the save check, 1->0 at f1066 on a new game, 0->1 at f1101 once the level is loaded."
0x020003EC,2,gRam020003EC,decomp,provisional,"Diagnostic marker: on entry to 0x080657D8 it writes the mode parameter (the [sp,#0] on the stack) here. strh, so u16. It lets the last running driver mode be read from RAM at the moment of a lockup."
0x02000400,32,gRam02000400,decomp,provisional,"Size 32 MEASURED (Memset call, 0x08066144)"
0x02000420,64,gRam02000420,decomp,provisional,"Size 64 MEASURED (Memset call, 0x08066144)"
0x02000460,36,gSaveSlotHeaders,decomp,verified,Three 12-byte save slot headers; byte 0 of each is the validity marker
0x0200048C,4,gRam0200048C,decomp,provisional,u16 counter; checked by 0x080664F0
0x02000494,4,gLoopState,decomp,provisional,Main loop state word
0x02000498,4,gRam02000498,decomp,provisional,Referenced by FUN_08001A00; role unknown
0x0200049C,4,gOuterState,decomp,provisional,Outer loop state word
