id,priority,area,status,title,acceptance,evidence,updated
PROC-001,P0,process,done,Single source of truth and validation tiers established,WORKFLOW defines data ownership; make status/check/check-full are usable,docs/WORKFLOW.md,2026-09-04
TOOL-001,P0,toolchain,done,agbcc compatible source revision and corpus fingerprint locked,old_agbcc built from the fixed revision produces the same bytes as the 23-function representative corpus,config/toolchain.lock.json,2026-09-04
MAP-BASE-001,P0,map,done,Boundary debt captured in a regression baseline,make check fails if closed short boundaries reappear or a new finding arrives,data/boundary_baseline.json,2026-09-04
DASH-001,P0,dashboard,done,Source kind and matching state separated,All 211 C sources are visible; candidates without source are not counted as assembly,tools/generate_dashboard_data.py,2026-09-04
BUILD-001,P1,build,done,Track build dependencies fully,C targets are rebuilt automatically when headers or build tools change,Makefile,2026-09-04
VERIFY-001,P1,verification,done,Add an expected-size gate to C verification,A short prefix cannot be accepted as a full function match,tools/verify_c_function.py,2026-09-04
MAP-001,P1,map,done,Close the 53 boundary findings by hand,All 53 records were reviewed individually; 52 false internal splits were merged and one false start inside a literal was removed,data/boundary_review.csv,2026-09-04
SEM-001,P1,semantics,done,Correct the name and comment of ScanAllEntries,The real single-iteration behavior carries a name and comment consistent with the evidence,src/world/scan_all.c,2026-09-04
DOC-001,P1,docs,done,Separate the historical measurements inside PLAN,docs/STATUS.md is the single source of current figures; PLAN is explicitly decision history,docs/PLAN.md,2026-09-04
BACKUP-001,P1,repository,blocked,Create a private remote backup,The full commit history is pushed to a private remote chosen by the user,The user must choose the remote target,2026-09-04
TYPES-001,P2,architecture,done,Unify the shared RAM types,The same symbol does not carry incompatible extern types across translation units,include/ram_symbols.h + tools/check_consistency.py,2026-09-04
DASH-QA-001,P2,dashboard,done,Clear the unused UI scaffold and dependency debt,The production lint and the full dashboard lint pass; unnecessary components are removed,dashboard/,2026-09-04
MAP-LARGE-001,P1,map,done,Review the 4 excessively grown Thumb records,Each record reaches a definite boundary with ARM/Thumb mode and control-flow evidence,data/large_boundary_review.csv,2026-09-04
MAP-ARM-001,P2,map,done,Review the 18 ARM range records,Starts and ends are verified with ARM disassembly,data/arm_boundary_review.csv,2026-09-04
MATCH-001,P1,matching,done,Match the last two bytes of ProcessFirstEntry,Function 0x08029014 becomes 62/62 byte-matching,src/world/scan_all.c + data/matching_regions.csv,2026-09-04
MATCH-002,P1,matching,done,Match MaybeAdvance's single-byte branch difference,MaybeAdvance becomes byte-matching from natural C,src/world/maybe_advance.c + data/matching_regions.csv,2026-09-04
MATCH-003,P1,matching,done,Resolve QueryEntity's two-byte difference,"QueryEntity becomes byte-matching from natural C, or the obstacle is documented with evidence",src/world/entity_query.c + data/matching_regions.csv,2026-09-04
MATCH-004,P1,matching,done,Match the object query pair,"GetInnerId and ProbeObject become byte-matching together, or their obstacles are documented with evidence",src/world/object_query.c + src/world/get_inner_id.c,2026-09-04
MATCH-005,P1,matching,done,Resolve IsRamModeWanted's four-byte difference,"IsRamModeWanted becomes byte-matching from natural C, or the obstacle is documented with evidence",src/world/is_ram_mode.c + data/matching_regions.csv,2026-09-04
MATCH-006,P1,matching,done,Resolve the offset helper obstacle,"The functions in offset_helpers become byte-matching, or the obstacle is documented with a measurement",src/world/offset_helpers.c + data/matching_regions.csv,2026-09-04
MATCH-007,P1,matching,done,Resolve InitActor's remaining differences,"InitActor becomes byte-matching from natural C, or the obstacles are classified",src/world/actor_init.c + data/matching_regions.csv,2026-09-04
MATCH-008,P1,matching,done,Resolve HasWantedEntry's pool placement,"HasWantedEntry becomes byte-matching from natural C, or the obstacle is narrowed with new evidence",src/world/kind_scan.c + data/matching_regions.csv,2026-09-04
MATCH-009,P1,matching,done,Resolve PushHistory's base copying,"PushHistory becomes byte-matching from natural C, or the obstacle is narrowed with new evidence",src/world/history_push.c + data/matching_regions.csv,2026-09-04
MATCH-010,P1,matching,done,Resolve AddDistance's base and pool difference,"AddDistance becomes byte-matching from natural C, or the obstacle is narrowed with new evidence",src/world/distance_accum.c + data/matching_regions.csv,2026-09-04
MATCH-011,P1,matching,done,Resolve BumpOrReset's shared store difference,"BumpOrReset becomes byte-matching from natural C, or the obstacle is narrowed with new evidence",src/world/bump_or_reset.c + data/matching_regions.csv,2026-09-04
MATCH-012,P1,matching,done,Resolve ReleaseSlot's two-base difference,"ReleaseSlot becomes byte-matching from natural C, or the obstacle is narrowed with new evidence",src/world/release_slot.c + data/matching_regions.csv,2026-09-04
